Bairro,Homicidios,Regional,População total,HomicidioHab
AEROLANDIA,17,REGIONAL 6,11.360,"0,0014964789"
AEROPORTO,2,REGIONAL 4,8.618,"0,0002320724"
ALDEOTA,8,REGIONAL 2,42.361,"0,000188853"
ALTO DA BALANCA,10,REGIONAL 6,12.814,"0,0007803964"
ALVARO WEYNE,21,REGIONAL 1,23.690,"0,00088645"
ANCURI,18,REGIONAL 6,20.070,"0,000896861"
ANTONIO BEZERRA,16,REGIONAL 3,25.846,"0,0006190513"
AUTRAN NUNES,18,REGIONAL 3,21.208,"0,0008487363"
BARRA DO CEARA,70,REGIONAL 1,72.423,"0,0009665438"
BARROSO,45,REGIONAL 6,29.847,"0,0015076892"
BELA VISTA,17,REGIONAL 3,16.754,"0,0010146831"
BENFICA,2,REGIONAL 4,12.954,"0,0001543925"
BOA VISTA,1,REGIONAL 6,12.247,"8,16526496284804E-05"
BOM FUTURO,0,REGIONAL 4,6.405,0
BOM JARDIM,53,REGIONAL 5,37.758,"0,001403676"
BONSUCESSO,25,REGIONAL 3,41.198,"0,0006068256"
CAIS DO PORTO,19,REGIONAL 2,22.382,"0,0008488964"
CAJAZEIRAS,11,REGIONAL 6,14.478,"0,0007597734"
CAMBEBA,4,REGIONAL 6,7.625,"0,0005245902"
CANINDEZINHO,29,REGIONAL 5,41.202,"0,0007038493"
CARLITO PAMPLONA,17,REGIONAL 1,29.076,"0,0005846746"
CENTRO,30,REGIONAL 2,28.538,"0,0010512299"
CIDADE 2000,5,REGIONAL 2,8.272,"0,0006044487"
CIDADE DOS FUNCIONARIOS,9,REGIONAL 6,18.256,"0,0004929886"
COACU,0,REGIONAL 6,7.188,0
COCO,1,REGIONAL 2,20.492,"4,87995315244974E-05"
CONJUNTO CEARA I,7,REGIONAL 5,19.221,"0,000364185"
CONJUNTO CEARA II,6,REGIONAL 5,23.673,"0,0002534533"
CONJUNTO ESPERANCA,15,REGIONAL 5,16.405,"0,0009143554"
CONJUNTO PALMEIRAS,46,REGIONAL 6,36.599,"0,0012568649"
COUTO FERNANDES,4,REGIONAL 4,5.260,"0,0007604563"
CRISTO REDENTOR,17,REGIONAL 1,26.717,"0,000636299"
CURIO,11,REGIONAL 6,7.636,"0,0014405448"
DAMAS,2,REGIONAL 4,10.719,"0,0001865846"
DE LOURDES,0,REGIONAL 2,3.370,0
DEMOCRITO ROCHA,5,REGIONAL 4,10.994,"0,0004547935"
DENDE,5,REGIONAL 4,5.637,"0,0008869966"
DIAS MACEDO,10,REGIONAL 6,12.111,"0,0008256956"
DIONISIO TORRES,3,REGIONAL 2,15.634,"0,0001918895"
DOM LUSTOSA,4,REGIONAL 3,13.147,"0,0003042519"
EDSON QUEIROZ,24,REGIONAL 6,22.210,"0,0010805943"
FARIAS BRITO,1,REGIONAL 1,12.063,"8,28981182127166E-05"
FATIMA,7,REGIONAL 4,23.309,"0,0003003132"
FLORESTA,10,REGIONAL 1,28.896,"0,0003460687"
GENIBAU,37,REGIONAL 5,40.336,"0,0009172947"
GRANJA LISBOA,32,REGIONAL 5,52.042,"0,000614888"
GRANJA PORTUGAL,26,REGIONAL 5,39.651,"0,0006557212"
GUAJERU,0,REGIONAL 6,6.668,0
HENRIQUE JORGE,6,REGIONAL 3,26.994,"0,0002222716"
ITAOCA,10,REGIONAL 4,12.477,"0,0008014747"
ITAPERI,8,REGIONAL 4,22.563,"0,0003545628"
JACARECANGA,11,REGIONAL 1,14.204,"0,0007744297"
JANGURUSSU,57,REGIONAL 6,50.479,"0,0011291824"
JARDIM AMERICA,8,REGIONAL 4,12.264,"0,0006523157"
JARDIM CEARENSE,1,REGIONAL 5,10.103,"9,89805008413343E-05"
JARDIM DAS OLIVEIRAS,31,REGIONAL 6,29.571,"0,0010483244"
JARDIM GUANABARA,6,REGIONAL 1,14.919,"0,0004021717"
JARDIM IRACEMA,29,REGIONAL 1,23.184,"0,0012508627"
JOAO XXIII,10,REGIONAL 3,18.398,"0,0005435373"
JOAQUIM TAVORA,4,REGIONAL 2,23.450,"0,0001705757"
JOQUEI CLUBE,7,REGIONAL 3,19.331,"0,0003621127"
JOSE BONIFACIO,3,REGIONAL 4,8.848,"0,0003390597"
JOSE DE ALENCAR,20,REGIONAL 6,16.003,"0,0012497657"
LAGOA REDONDA,13,REGIONAL 6,27.949,"0,0004651329"
MANOEL SATIRO,9,REGIONAL 5,37.952,"0,0002371417"
MANUEL DIAS BRANCO,3,REGIONAL 2,1.447,"0,002073255"
MARAPONGA,12,REGIONAL 5,10.155,"0,0011816839"
MEIRELES,2,REGIONAL 2,36.982,"5,40803634200422E-05"
MESSEJANA,46,REGIONAL 6,41.689,"0,0011034086"
MONDUBIM,47,REGIONAL 5,76.044,"0,0006180632"
MONTE CASTELO,12,REGIONAL 1,13.215,"0,000908059"
MONTESE,4,REGIONAL 4,25.970,"0,0001540239"
MUCURIPE,10,REGIONAL 2,13.747,"0,0007274314"
PADRE ANDRADE,6,REGIONAL 3,12.936,"0,0004638219"
PAPICU,11,REGIONAL 2,18.370,"0,0005988024"
PARANGABA,11,REGIONAL 4,30.947,"0,0003554464"
PARQUE ARAXA,0,REGIONAL 3,6.715,0
PARQUE DOIS IRMAOS,14,REGIONAL 6,27.236,"0,0005140256"
PARQUE IRACEMA,2,REGIONAL 6,8.409,"0,0002378404"
PARQUE MANIBURA,0,REGIONAL 6,7.529,0
PARQUE PRESIDENTE VARGAS,9,REGIONAL 5,7.192,"0,0012513904"
PARQUE SANTA ROSA,8,REGIONAL 5,12.790,"0,0006254887"
PARQUE SAO JOSE,17,REGIONAL 5,10.486,"0,0016212092"
PARQUELANDIA,6,REGIONAL 3,14.432,"0,0004157428"
PARREAO,0,REGIONAL 4,11.072,0
PASSARE,35,REGIONAL 6,50.940,"0,0006870828"
PAUPINA,12,REGIONAL 6,14.665,"0,0008182748"
PEDRAS,1,REGIONAL 6,1.342,"0,0007451565"
PICI,23,REGIONAL 3,42.494,"0,0005412529"
PIRAMBU,38,REGIONAL 1,17.775,"0,002137834"
PLANALTO AYRTON SENNA,30,REGIONAL 5,39.446,"0,0007605334"
PRAIA DE IRACEMA,11,REGIONAL 2,3.130,"0,003514377"
PRAIA DO FUTURO I,12,REGIONAL 2,6.630,"0,0018099548"
PRAIA DO FUTURO II,12,REGIONAL 2,11.957,"0,0010035962"
PREFEITO JOSE VALTER,25,REGIONAL 5,33.427,"0,0007478984"
PRESIDENTE KENNEDY,2,REGIONAL 3,23.004,"8,69414014953921E-05"
QUINTINO CUNHA,36,REGIONAL 3,47.277,"0,0007614696"
RODOLFO TEOFILO,4,REGIONAL 3,19.114,"0,0002092707"
SABIAGUABA,9,REGIONAL 6,2.117,"0,004251299"
SALINAS,0,REGIONAL 2,4.298,0
SAO BENTO,0,REGIONAL 6,11.964,0
SAO GERARDO,3,REGIONAL 1,14.505,"0,0002068252"
SAO JOAO DO TAUAPE,24,REGIONAL 2,27.598,"0,0008696282"
SERRINHA,21,REGIONAL 4,28.770,"0,000729927"
SIQUEIRA,30,REGIONAL 5,33.628,"0,0008921137"
VARJOTA,2,REGIONAL 2,8.421,"0,0002375015"
VICENTE PINZON,34,REGIONAL 2,45.518,"0,0007469572"
VILA ELLERY,6,REGIONAL 1,7.863,"0,0007630675"
VILA PERY,6,REGIONAL 4,20.645,"0,0002906273"
VILA UNIAO,10,REGIONAL 4,15.378,"0,0006502796"
VILA VELHA,31,REGIONAL 1,61.617,"0,0005031079"
