Bairro,Homicidios,Regional,População total,HomicidioHab
AEROLANDIA,17,REGIONAL 6,11360,0.00149648
AEROPORTO,2,REGIONAL 4,8618,0.00023207
ALDEOTA,8,REGIONAL 2,42361,0.00018885
ALTO DA BALANCA,10,REGIONAL 6,12814,0.00078040
ALVARO WEYNE,21,REGIONAL 1,23690,0.00088645
ANCURI,18,REGIONAL 6,20070,0.00089686
ANTONIO BEZERRA,16,REGIONAL 3,25846,0.00061905
AUTRAN NUNES,18,REGIONAL 3,21208,0.00084874
BARRA DO CEARA,70,REGIONAL 1,72423,0.00096654
BARROSO,45,REGIONAL 6,29847,0.00150769
BELA VISTA,17,REGIONAL 3,16754,0.00101468
BENFICA,2,REGIONAL 4,12954,0.00015439
BOA VISTA,1,REGIONAL 6,12247,0.00008165
BOM FUTURO,0,REGIONAL 4,6405,0.00000000
BOM JARDIM,53,REGIONAL 5,37758,0.00140368
BONSUCESSO,25,REGIONAL 3,41198,0.00060683
CAIS DO PORTO,19,REGIONAL 2,22382,0.00084890
CAJAZEIRAS,11,REGIONAL 6,14478,0.00075977
CAMBEBA,4,REGIONAL 6,7625,0.00052459
CANINDEZINHO,29,REGIONAL 5,41202,0.00070385
CARLITO PAMPLONA,17,REGIONAL 1,29076,0.00058467
CENTRO,30,REGIONAL 2,28538,0.00105123
CIDADE 2000,5,REGIONAL 2,8272,0.00060445
CIDADE DOS FUNCIONARIOS,9,REGIONAL 6,18256,0.00049299
COACU,0,REGIONAL 6,7188,0.00000000
COCO,1,REGIONAL 2,20492,0.00004880
CONJUNTO CEARA I,7,REGIONAL 5,19221,0.00036419
CONJUNTO CEARA II,6,REGIONAL 5,23673,0.00025345
CONJUNTO ESPERANCA,15,REGIONAL 5,16405,0.00091436
CONJUNTO PALMEIRAS,46,REGIONAL 6,36599,0.00125686
COUTO FERNANDES,4,REGIONAL 4,5260,0.00076046
CRISTO REDENTOR,17,REGIONAL 1,26717,0.00063630
CURIO,11,REGIONAL 6,7636,0.00144054
DAMAS,2,REGIONAL 4,10719,0.00018658
DE LOURDES,0,REGIONAL 2,3370,0.00000000
DEMOCRITO ROCHA,5,REGIONAL 4,10994,0.00045479
DENDE,5,REGIONAL 4,5637,0.00088700
DIAS MACEDO,10,REGIONAL 6,12111,0.00082570
DIONISIO TORRES,3,REGIONAL 2,15634,0.00019189
DOM LUSTOSA,4,REGIONAL 3,13147,0.00030425
EDSON QUEIROZ,24,REGIONAL 6,22210,0.00108059
FARIAS BRITO,1,REGIONAL 1,12063,0.00008290
FATIMA,7,REGIONAL 4,23309,0.00030031
FLORESTA,10,REGIONAL 1,28896,0.00034607
GENIBAU,37,REGIONAL 5,40336,0.00091729
GRANJA LISBOA,32,REGIONAL 5,52042,0.00061489
GRANJA PORTUGAL,26,REGIONAL 5,39651,0.00065572
GUAJERU,0,REGIONAL 6,6668,0.00000000
HENRIQUE JORGE,6,REGIONAL 3,26994,0.00022227
ITAOCA,10,REGIONAL 4,12477,0.00080147
ITAPERI,8,REGIONAL 4,22563,0.00035456
JACARECANGA,11,REGIONAL 1,14204,0.00077443
JANGURUSSU,57,REGIONAL 6,50479,0.00112918
JARDIM AMERICA,8,REGIONAL 4,12264,0.00065232
JARDIM CEARENSE,1,REGIONAL 5,10103,0.00009898
JARDIM DAS OLIVEIRAS,31,REGIONAL 6,29571,0.00104832
JARDIM GUANABARA,6,REGIONAL 1,14919,0.00040217
JARDIM IRACEMA,29,REGIONAL 1,23184,0.00125086
JOAO XXIII,10,REGIONAL 3,18398,0.00054354
JOAQUIM TAVORA,4,REGIONAL 2,23450,0.00017058
JOQUEI CLUBE,7,REGIONAL 3,19331,0.00036211
JOSE BONIFACIO,3,REGIONAL 4,8848,0.00033906
JOSE DE ALENCAR,20,REGIONAL 6,16003,0.00124977
LAGOA REDONDA,13,REGIONAL 6,27949,0.00046513
MANOEL SATIRO,9,REGIONAL 5,37952,0.00023714
MANUEL DIAS BRANCO,3,REGIONAL 2,1447,0.00207326
MARAPONGA,12,REGIONAL 5,10155,0.00118168
MEIRELES,2,REGIONAL 2,36982,0.00005408
MESSEJANA,46,REGIONAL 6,41689,0.00110341
MONDUBIM,47,REGIONAL 5,76044,0.00061806
MONTE CASTELO,12,REGIONAL 1,13215,0.00090806
MONTESE,4,REGIONAL 4,25970,0.00015402
MUCURIPE,10,REGIONAL 2,13747,0.00072743
PADRE ANDRADE,6,REGIONAL 3,12936,0.00046382
PAPICU,11,REGIONAL 2,18370,0.00059880
PARANGABA,11,REGIONAL 4,30947,0.00035545
PARQUE ARAXA,0,REGIONAL 3,6715,0.00000000
PARQUE DOIS IRMAOS,14,REGIONAL 6,27236,0.00051403
PARQUE IRACEMA,2,REGIONAL 6,8409,0.00023784
PARQUE MANIBURA,0,REGIONAL 6,7529,0.00000000
PARQUE PRESIDENTE VARGAS,9,REGIONAL 5,7192,0.00125139
PARQUE SANTA ROSA,8,REGIONAL 5,12790,0.00062549
PARQUE SAO JOSE,17,REGIONAL 5,10486,0.00162121
PARQUELANDIA,6,REGIONAL 3,14432,0.00041574
PARREAO,0,REGIONAL 4,11072,0.00000000
PASSARE,35,REGIONAL 6,50940,0.00068708
PAUPINA,12,REGIONAL 6,14665,0.00081827
PEDRAS,1,REGIONAL 6,1342,0.00074516
PICI,23,REGIONAL 3,42494,0.00054125
PIRAMBU,38,REGIONAL 1,17775,0.00213783
PLANALTO AYRTON SENNA,30,REGIONAL 5,39446,0.00076053
PRAIA DE IRACEMA,11,REGIONAL 2,3130,0.00351438
PRAIA DO FUTURO I,12,REGIONAL 2,6630,0.00180995
PRAIA DO FUTURO II,12,REGIONAL 2,11957,0.00100360
PREFEITO JOSE VALTER,25,REGIONAL 5,33427,0.00074790
PRESIDENTE KENNEDY,2,REGIONAL 3,23004,0.00008694
QUINTINO CUNHA,36,REGIONAL 3,47277,0.00076147
RODOLFO TEOFILO,4,REGIONAL 3,19114,0.00020927
SABIAGUABA,9,REGIONAL 6,2117,0.00425130
SALINAS,0,REGIONAL 2,4298,0.00000000
SAO BENTO,0,REGIONAL 6,11964,0.00000000
SAO GERARDO,3,REGIONAL 1,14505,0.00020683
SAO JOAO DO TAUAPE,24,REGIONAL 2,27598,0.00086963
SERRINHA,21,REGIONAL 4,28770,0.00072993
SIQUEIRA,30,REGIONAL 5,33628,0.00089211
VARJOTA,2,REGIONAL 2,8421,0.00023750
VICENTE PINZON,34,REGIONAL 2,45518,0.00074696
VILA ELLERY,6,REGIONAL 1,7863,0.00076307
VILA PERY,6,REGIONAL 4,20645,0.00029063
VILA UNIAO,10,REGIONAL 4,15378,0.00065028
VILA VELHA,31,REGIONAL 1,61617,0.00050311
